stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
42,0.5,2.0,41.91367960000002,,41.8873145,41.91367960000002,42.39891990000001,42.39891990000001,42.41606249999995,42.71457499999997,42.933075200000076,right,2.0,1,1,0.5235798999999588,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
43,0.5,1.5,42.94767930000012,,42.9332495000001,42.94767930000012,43.44776610000008,43.44776610000008,43.44776610000008,43.749376800000164,44.36602919999996,left,-1.5,0,0,0.9136475000000246,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
44,0.5,2.0,44.38108370000009,,44.366212700000005,44.38108370000009,44.88135250000005,44.88135250000005,44.88135250000005,45.18105460000015,45.41639190000001,left,-2.0,0,0,0.529817200000025,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
45,0.5,2.5,45.4312261,,45.416566900000134,45.4312261,45.93119750000005,45.93119750000005,45.93119750000005,46.23103379999998,46.80727019999995,right,2.5,1,1,0.871664600000031,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
46,0.5,2.5,46.830665599999975,,46.807518900000105,46.830665599999975,47.31788720000009,47.31788720000009,47.33200439999996,47.6314976000001,47.750571000000036,left,-2.5,0,0,0.4257454000000962,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
47,0.5,3.0,47.764936000000034,,47.750775800000156,47.764936000000034,48.26391360000002,48.26391360000002,48.26391360000002,48.56401559999995,48.71828410000012,left,-3.0,1,1,0.4469601999999213,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
48,0.5,3.0,48.73218760000009,,48.718498700000055,48.73218760000009,49.23211060000017,49.23211060000017,49.23211060000017,49.531710400000065,49.76904190000005,right,3.0,1,1,0.5280694999999014,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
49,0.5,3.0,49.782065399999965,,49.76928829999997,49.782065399999965,50.28060740000001,50.28060740000001,50.297319700000116,50.58134719999998,50.88507819999995,left,-3.0,1,1,0.6002473999999438,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
50,0.5,2.5,50.89816040000005,,50.885304600000154,50.89816040000005,51.399875400000155,51.399875400000155,51.399875400000155,51.71516050000014,51.95339379999996,left,-2.5,1,1,0.5461382999999387,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
51,0.5,2.5,51.979221199999984,,51.953604799999994,51.979221199999984,52.46467329999996,52.46467329999996,52.48300840000002,52.765050800000154,52.93628170000011,right,2.5,1,1,0.4547631000000365,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
52,0.5,2.5,52.94683740000005,,52.93649740000001,52.94683740000005,53.447775699999966,53.447775699999966,53.447775699999966,53.74790670000016,53.917698599999994,right,2.5,1,1,0.4659805999999662,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
53,0.5,2.0,53.93118040000013,,53.917883000000074,53.93118040000013,54.43123820000005,54.43123820000005,54.43123820000005,54.73116520000008,54.968115000000125,left,-2.0,1,1,0.519927700000153,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
54,0.5,2.0,54.981842900000174,,54.968311600000106,54.981842900000174,55.479646799999955,55.479646799999955,55.496318700000074,55.78184780000015,56.04797010000016,left,-2.0,1,1,0.5604117000000315,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
